שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2019,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אור יהודה,2400,OR YEHUDA,5,52,512,0,122,1,36813,36753,35927,60,1950,160,,1863265962,29,510,10001516,2019,Or Yehuda,
אור עקיבא,1020,OR AQIVA,3,32,324,0,,1,18972,18882,17369,90,1951,170,,1927171271,15,353,10004261,2019,Or Aqiva,
אורה,780,ORA,1,11,111,26,444,1,1314,1310,1257,4,1950,310,1,2145862905,802,151,10002521,2019,Ora,
אורון,1771, ,6,62,626,48,,,,,,,,520,,2014453558,356,620,10001918,2019,,610
אורות,2012,OROT,6,61,611,33,143,1,496,496,491,,1952,310,1,1749262782,50,616,10001821,2019,Orot,420
אורטל,4013,ORTAL,2,29,292,71,,1,343,343,343,,1978,330,15,2712077699,886,219,10004579,2019,Ortal,211
אורים,403,URIM,6,62,622,38,,1,501,500,471,1,1946,330,15,1545457936,94,651,10001893,2019,Urim,620
אורנים,882,ORANIM,3,31,311,12,222,1,178,94,93,84,1951,340,,2104973529,74,301,10004207,2019,Oranim,
אורנית,3760,ORANIT,7,73,,99,145,1,8955,8940,8813,15,1985,180,,1995367087,124,718,15004488,2019,Oranit,710
אושה,278,USHA,3,31,311,12,222,1,533,533,522,,1937,330,15,2110474459,31,301,10004207,2019,Usha,
אזור,565,AZOR,5,53,513,99,123,1,12957,12927,12153,30,1948,170,,1819465899,25,509,10001430,2019,Azor,
"אזור אילון מ""א 4",1852,,2,24,244,4,,,,,,,,530,,2196077510,,,,2019,,212
"אזור אילון מ""א 52",1851,,2,24,244,52,,,,,,,,530,,2266077360,,,,2019,,212
"אזור אילון של""ש",1853,,2,24,244,,,,,,,,,530,,2314076950,,,,2019,,
"אזור אשדוד מ""א 29",1922,,6,61,613,29,,,,,,,,530,,1726063970,,,,2019,,420
"אזור אשדוד מ""א 33",1921,,6,61,613,33,,,,,,,,530,,1649062930,,,,2019,,420
"אזור אשדוד של""ש",1923,,6,61,613,,,,,,,,,530,,1681064050,,,,2019,,
"אזור אשקלון מ""א 36",1924,,6,61,614,36,,,,,,,,530,,1663061620,,,,2019,,
"אזור אשקלון מ""א 37",1926,,6,61,614,37,,,,,,,,530,,1637060210,,,,2019,,620
"אזור באר שבע מ""א 41",1937,,6,62,623,41,,,,,,,,530,,1807058120,,,,2019,,620
"אזור באר שבע מ""א 51",1938,,6,62,623,51,,,,,,,,530,,2240057100,,,,2019,,
"אזור באר שבע של""ש",1939,,6,62,623,,,,,,,,,530,,1974056740,,,,2019,,
"אזור בשור מ""א 38",1933,,6,62,622,38,,,,,,,,530,,1457057060,,,,2019,,620
"אזור בשור מ""א 39",1935,,6,62,622,39,,,,,,,,530,,1505059540,,,,2019,,620
"אזור בשור מ""א 42",1934,,6,62,622,42,,,,,,,,530,,1608057600,,,,2019,,620
"אזור גלילות מ""א 19",1907,,5,51,511,19,,,,,,,,530,,,,,,2019,,
"אזור גרר מ""א 39",1931,,6,62,621,39,,,,,,,,530,,1572058820,,,,2019,,620
"אזור גרר מ""א 41",1929,,6,62,621,41,,,,,,,,530,,1725058920,,,,2019,,620
"אזור גרר מ""א 42",1930,,6,62,621,42,,,,,,,,530,,1679059410,,,,2019,,620
"אזור זכרון יעקב מ""א 15",1866,,3,32,322,15,,,,,,,,530,,2001072840,,,,2019,,
"אזור זכרון יעקב של""ש",1867,,3,32,322,,,,,,,,,530,,2040072880,,,,2019,,
"אזור חדרה מ""א 14",1873,,3,32,324,14,,,,,,,,530,,2012070620,,,,2019,,
"אזור חדרה מ""א 15",1872,,3,32,324,15,,,,,,,,530,,1932070920,,,,2019,,
"אזור חדרה מ""א 45",1871,,3,32,324,45,,,,,,,,530,,1999071630,,,,2019,,
"אזור חדרה של""ש",1874,,3,32,324,,,,,,,,,530,,2029069980,,,,2019,,
"אזור חולון של""ש",1909,,5,53,513,,,,,,,,,530,,1817066000,,,,2019,,
"אזור חיפה מ""א 12",1860,,3,31,311,12,,,,,,,,530,,2104074200,,,,2019,,
"אזור חיפה של""ש",1862,,3,31,311,,,,,,,,,530,,2088073220,,,,2019,,
"אזור חצור מ""א 1",1813,,2,21,213,1,,,,,,,,530,,2545075990,,,,2019,,211
"אזור חצור מ""א 55",1814,,2,21,213,55,,,,,,,,530,,2584076640,,,,2019,,211
"אזור חצור של""ש",1815,,2,21,213,,,,,,,,,530,,2549076740,,,,2019,,
"אזור יחיעם מ""א 2",1848,,2,24,243,2,,,,,,,,530,,2386075990,,,,2019,,211
"אזור יחיעם מ""א 4",1846,,2,24,243,4,,,,,,,,530,,2180076770,,,,2019,,212
"אזור יחיעם מ""א 52",1847,,2,24,243,52,,,,,,,,530,,2283076610,,,,2019,,212
"אזור יחיעם מ""א 56",1849,,2,24,243,56,,,,,,,,530,,2214075970,,,,2019,,210
"אזור יחיעם של""ש",1850,,2,24,243,,,,,,,,,530,,2325076540,,,,2019,,
"אזור ים המלח מ""א 51",1942,,6,62,624,51,,,,,,,,530,,2340056200,,,,2019,,
"אזור יקנעם מ""א 13",1836,,2,23,235,13,,,,,,,,530,,2121072800,,,,2019,,213
"אזור יקנעם מ""א 9",1835,,2,23,235,9,,,,,,,,530,,2115073310,,,,2019,,213
"אזור כינרות מ""א 3",1805,,2,22,221,3,,,,,,,,530,,2481074680,,,,2019,,214
"אזור כנרות מ""א 1",1816,,2,22,221,1,,,,,,,,530,,2528075660,,,,2019,,211
"אזור כנרות מ""א 6",1817,,2,22,221,6,,,,,,,,530,,2610074110,,,,2019,,214
"אזור כנרות של""ש",1818,,2,22,221,,,,,,,,,530,,,0,,,2019,,
"אזור כרמיאל מ""א 2",1843,,2,24,242,2,,,,,,,,530,,2339075980,,,,2019,,211
"אזור כרמיאל מ""א 56",1844,,2,24,242,56,,,,,,,,530,,2327075530,,,,2019,,210
"אזור כרמיאל של""ש",1845,,2,24,242,,,,,,,,,530,,2369075930,,,,2019,,
"אזור לכיש מ""א 34",1919,,6,61,612,34,,,,,,,,530,,1769061100,,,,2019,,
"אזור לכיש מ""א 35",1917,,6,61,612,35,,,,,,,,530,,1870061370,,,,2019,,420
"אזור לכיש מ""א 41",1920,,6,61,612,41,,,,,,,,530,,1888059260,,,,2019,,620
"אזור לכיש מ""א 50",1918,,6,61,612,50,,,,,,,,530,,1836060440,,,,2019,,
"אזור מודיעין מ""א 25",1887,,4,43,431,25,,,,,,,,530,,2311074610,,,,2019,,
"אזור מודיעין מ""א 30",1890,,4,43,431,30,,,,,,,,530,,2010069770,,,,2019,,
"אזור מודיעין של""ש",1895,,4,43,431,,,,,,,,,530,,1833067310,,,,2019,,
"אזור מלאכי מ""א 33",1911,,6,61,611,33,,,,,,,,530,,1755063200,,,,2019,,420
"אזור מלאכי מ""א 34",1915,,6,61,611,34,,,,,,,,530,,1766062160,,,,2019,,
"אזור מלאכי מ""א 35",1913,,6,61,611,35,,,,,,,,530,,1816062200,,,,2019,,420
"אזור מלאכי מ""א 50",1914,,6,61,611,50,,,,,,,,530,,1780061800,,,,2019,,
"אזור נהרייה מ""א 4",1855,,2,24,245,4,,,,,,,,530,,2125076910,,,,2019,,212
"אזור נהרייה של""ש",1856,,2,24,245,,,,,,,,,530,,2131076190,,,,2019,,
"אזור עכו מ""א 4",1858,,2,24,246,4,,,,,,,,530,,2128075480,,,,2019,,212
"אזור עכו מ""א 56",1857,,2,24,246,56,,,,,,,,530,,2128075670,,,,2019,,210
"אזור עכו של""ש",1859,,2,24,246,,,,,,,,,530,,2127075860,,,,2019,,
"אזור פתח תקווה מ""א 20",1888,,4,42,422,20,,,,,,,,530,,1933066570,,,,2019,,
"אזור פתח תקווה מ""א 25",1886,,4,42,422,25,,,,,,,,530,,1984065740,,,,2019,,
"אזור פתח תקווה של""ש",1889,,4,42,422,,,,,,,,,530,,1921066200,,,,2019,,
"אזור ראשל""צ מ""א 27",1903,,4,44,442,27,,,,,,,,530,,1753064760,,,,2019,,
"אזור ראשל""צ של""ש",1904,,4,44,442,,,,,,,,,530,,1755065150,,,,2019,,
"אזור רחובות מ""א 28",1896,,4,44,441,28,,,,,,,,530,,1803064000,,,,2019,,420
"אזור רחובות מ""א 29",1899,,4,44,441,29,,,,,,,,530,,1721063800,,,,2019,,420
"אזור רחובות מ""א 30",1898,,4,44,441,30,,,,,,,,530,,1843064140,,,,2019,,
